id_klienta;imie;nazwisko;data_urodzenia;miejsce_zamieszkania
1;Robert;Pawlowski;2004-07-22;Wies
2;Krzysztof;Ostrowski;1961-10-04;Wies
3;Szymon;Wozniak;1968-03-08;Wies
4;Wiktor;Sikora;1960-01-23;Wies
5;Maciej;Krawczyk;1975-07-06;Wies
6;Pawel;Jablonski;1966-08-30;Miasto
7;Antoni;Zajac;1991-06-30;Miasto
8;Rafal;Krol;1956-06-22;Miasto
9;Michal;Szewczyk;1969-07-31;Wies
10;Jan;Kaminski;1982-07-10;Miasto
11;Kamil;Tomaszewski;1992-04-18;Miasto
12;Kamil;Zajac;1955-10-30;Wies
13;Henryk;Lewandowski;1993-08-09;Wies
14;Grzegorz;Krol;1989-11-07;Miasto
15;Wiktor;Kwiatkowski;1999-05-11;Wies
16;Mateusz;Zajac;1998-10-12;Wies
17;Nikodem;Jankowski;1984-03-11;Miasto
18;Wojciech;Jaworski;1990-02-09;Wies
19;Mikolaj;Wroblewski;1995-04-18;Miasto
20;Gabriel;Olszewski;1958-05-22;Wies
21;Gabriel;Baran;1953-11-01;Wies
22;Damian;Rutkowski;1997-04-18;Miasto
23;Wojciech;Nowakowski;1954-04-30;Wies
24;Marek;Dabrowski;1987-05-24;Miasto
25;Grzegorz;Michalski;1955-04-19;Wies
26;Kazimierz;Szymanski;2004-07-30;Miasto
27;Szymon;Wojcik;1977-08-14;Miasto
28;Patryk;Dudek;1989-09-01;Wies
29;Dariusz;Baran;1961-10-18;Miasto
30;Antoni;Krol;1976-03-13;Wies
31;Dominik;Kaminski;1983-04-14;Wies
32;Marcin;Piotrowski;1953-03-04;Wies
33;Karol;Nowak;2004-11-05;Wies
34;Rafal;Zajac;1956-07-07;Wies
35;Wiktor;Majewski;2006-08-21;Miasto
36;Ignacy;Zielinski;1953-01-22;Miasto
37;Aleksander;Wojcik;2006-07-31;Miasto
38;Karol;Kaczmarek;1980-03-26;Wies
39;Tomasz;Wisniewski;1999-12-13;Wies
40;Andrzej;Stepien;1954-12-27;Miasto
41;Tadeusz;Pawlak;1991-03-07;Wies
42;Damian;Walczak;1958-09-18;Miasto
43;Leon;Dudek;1966-08-13;Wies
44;Maksymilian;Walczak;1990-06-13;Miasto
45;Aleksander;Jaworski;1970-02-15;Wies
46;Filip;Zajac;1999-10-01;Wies
47;Krzysztof;Nowak;1982-11-28;Miasto
48;Adam;Zielinski;1995-12-19;Miasto
49;Sebastian;Grabowski;1972-03-09;Wies
50;Dariusz;Szewczyk;1978-03-16;Wies
51;Aleksander;Piotrowski;1996-11-17;Wies
52;Aleksander;Wozniak;1985-03-10;Miasto
53;Tadeusz;Michalak;1957-12-25;Miasto
54;Andrzej;Mazur;1972-06-14;Wies
55;Franciszek;Stepien;2006-07-01;Miasto
56;Sebastian;Wojciechowski;1955-07-21;Wies
57;Dawid;Kozlowski;1978-11-28;Miasto
58;Dariusz;Nowakowski;1961-02-07;Wies
59;Ryszard;Stepien;1976-11-24;Miasto
60;Dariusz;Pawlak;1984-04-11;Wies
61;Tomasz;Olszewski;1975-02-06;Miasto
62;Antoni;Jaworski;1999-06-23;Wies
63;Tadeusz;Dudek;1995-08-08;Wies
64;Antoni;Tomaszewski;2006-01-19;Miasto
65;Damian;Dudek;1971-07-15;Wies
66;Franciszek;Krol;1990-04-18;Wies
67;Dominik;Wroblewski;1972-10-08;Wies
68;Lukasz;Kaminski;1961-01-01;Miasto
69;Mikolaj;Nowak;1982-01-30;Wies
70;Andrzej;Kwiatkowski;1952-08-25;Wies
71;Antoni;Pawlowski;1983-05-21;Wies
72;Jan;Malinowski;1960-02-03;Miasto
73;Zbigniew;Wisniewski;1982-07-22;Miasto
74;Rafal;Stepien;1983-05-01;Miasto
75;Stanislaw;Kaczmarek;1992-04-07;Miasto
76;Jerzy;Nowakowski;1997-07-04;Miasto
77;Jozef;Gorski;1956-11-13;Miasto
78;Marcin;Rutkowski;1989-03-01;Miasto
79;Tadeusz;Sikora;1955-09-14;Wies
80;Artur;Dudek;1963-01-07;Wies
81;Kazimierz;Kowalczyk;1969-11-15;Wies
82;Tomasz;Dudek;1975-09-03;Wies
83;Filip;Zalewski;2004-02-10;Wies
84;Zbigniew;Pawlak;1997-02-18;Wies
85;Kamil;Zielinski;1977-03-05;Miasto
86;Wojciech;Sikora;1984-08-21;Miasto
87;Michal;Nowicki;1995-04-25;Miasto
88;Jan;Witkowski;1986-03-02;Wies
89;Rafal;Zielinski;1950-04-20;Wies
90;Kamil;Kwiatkowski;1963-02-19;Wies
91;Filip;Stepien;1994-08-18;Miasto
92;Szymon;Pawlak;1959-03-27;Miasto
93;Piotr;Michalak;1959-08-09;Miasto
94;Dawid;Jaworski;1976-12-19;Wies
95;Jan;Baran;1995-01-01;Miasto
96;Artur;Wisniewski;1982-12-25;Miasto
97;Wiktor;Wisniewski;1990-09-11;Wies
98;Nikodem;Krawczyk;1987-08-28;Miasto
99;Nikodem;Wojcik;1995-09-06;Wies
100;Krzysztof;Walczak;1973-02-11;Wies
101;Zbigniew;Szewczyk;1963-08-09;Miasto
